Type,Name,Country,Tags
Cultural,Historic Bridgetown and its Garrison,Barbados,"Island,Architecture,Colonial"
Cultural,Grand Place,Belgium,"Architecture,Square"
Cultural,Brugge,Belgium,"Architecture,City,Canals"
Cultural,Ghent,Belgium,"Architecture,City,Canals"
Cultural,Notre-Dame Cathedral in Tournai,Belgium,"Architecture,Christianity,Church,Gothic"
Natural,Ardennes,Belgium,"Wilderness,Forest"
Cultural,Royal Museums of Fine Arts of Belgium,Belgium,"Architecture,Museum"
Natural,Belize Barrier Reef Reserve,Belize,"Marine Life,Scuba Diving,Snorkeling"
Natural,Great Blue Hole,Belize,"Scuba Diving,Sinkhole"
Cultural,Caracol,Belize,"Archaeological Site,Ancient,Ruins"
Cultural,Xunantunich,Belize,"Archaeological Site,Ancient,Ruins"
Cultural,Ganvie Stilt Village,Benin,Village
Natural,Horseshoe Bay Beach,Bermuda,Beach
Cultural,Taktsang Monastery / Tiger's Nest,Bhutan,"Architecture,Temple,Buddhism"
Natural,Bhutan Mountain Treks,Bhutan,"Mountains,Trek,Wilderness"
Cultural,Punakha Dzong,Bhutan,"Architecture,Fortification,Fortress"
Cultural,Trongsa Dzong,Bhutan,"Architecture,Fortification,Fortress"
Cultural,Tiwanaku,Bolivia,"Archaeological Site,Ancient,Ruins,Arch"
Natural,Salar de Uyuni,Bolivia,"Lake,Salt Flat"
Natural,Lake Titicaca,"Bolivia,Peru",Lake
Natural,Okavango Delta and Moremi Wildlife Reserve,Botswana,"Wildlife,Grassland,Landform,Reserve,Park"
Natural,Chobe National Park,Botswana,"Wildlife,Park"
Mixed,Rio de Janeiro,Brazil,"City,Panoramic Views,Landscape,Harbour"
Cultural,Rio Carnival,Brazil,"Show,Carnival,Festival"
Cultural,Salvador de Bahia,Brazil,"Architecture,Colonial,City"
Cultural,Brasilia,Brazil,"Architecture,Modern,City"
Natural,Fernando de Noronha,Brazil,"Island,Marine Life,Snorkeling,Beach,Scuba Diving"
Cultural,Christ the Redeemer Statue,Brazil,"Architecture,Christianity,Statue"
Cultural,Copacabana Beach,Brazil,Beach
Cultural,Ipanema Beach,Brazil,Beach
Cultural,Niterói Contemporary Art Museum,Brazil,"Architecture,Modern"
Natural,Sugarloaf Mountain,Brazil,Mountain
Cultural,Amazon Theatre,Brazil,"Architecture,Renaissance,Opera House"
Natural,Iguazu Falls,"Brazil,Argentina",Waterfall
Natural,Amazon Rainforest,"Brazil,Peru","Wildlife,Forest,Wilderness"
Natural,The Baths,British Virgin Islands,"Island,Beach"
Cultural,Rock-Hewn Churches of Ivanovo,Bulgaria,"Architecture,Christianity,Cave Structures"
Cultural,Rila Monastery,Bulgaria,"Architecture,Christianity,Monastery"
Cultural,Angkor Wat,Cambodia,"Architecture,Temple,Buddhism,Hinduism"
Cultural,Angkor Thom,Cambodia,"Archaeological Site,Ancient,Ruins"
Cultural,"Silver Pagoda, Phnom Penh",Cambodia,"Architecture,Temple,Buddhism"
Cultural,Phnom Bakheng,Cambodia,"Architecture,Temple,Buddhism,Hinduism"
Cultural,Ta Prohm,Cambodia,"Ruins,Temple,Buddhism"
Natural,Waza National Park,Cameroon,"Wildlife,Park"
Natural,Banff National Park,Canada,"Mountains,Park,Wilderness,Wildlife"
Cultural,CN Tower,Canada,"Architecture,Tower"
Cultural,Old Québec,Canada,"City,Architecture"
Cultural,Lunenburg,Canada,"Architecture,Colonial,Town,Port"
Natural,Canadian Rocky Mountain Parks,Canada,"Mountains,Parks,Wilderness,Wildlife"
Natural,Baffin Island,Canada,Island
Natural,Bay of Fundy,Canada,"Bay,Rock Formations"
Natural,Cabot Trail,Canada,"Mountains,Road Trip"
Cultural,Louisbourg Fortress,Canada,"Architecture,Fortification,Fortress"
Natural,Perce Rock,Canada,"Landform,Rock Formation,Arch"
Natural,Niagara Falls,"Canada,United States of America",Waterfall
Natural,Stingray City,Cayman Islands,"Marine Life,Snorkeling"
Cultural,Easter Island,Chile,"Island,Rock Art,Megaliths"
Natural,Torres del Paine National Park,Chile,"Mountains,Park,Wilderness,Wildlife"
Natural,Osorno Volcano,Chile,Volcano
Natural,Portillo,Chile,Sky Resort
Cultural,Great Wall of China,China,"Architecture,Fortification"
Cultural,Mausoleum of the First Qin Emperor & Terra Cotta Warriors,China,"Archaeological Site,Ancient,Tomb"
Cultural,"Potala Palace, Lhasa",China,"Architecture,Palace,Buddhism"
Cultural,Old Town of Lijiang,China,"Town,Old Town"
Cultural,Hong Kong (Victoria) Harbour,China,Harbour
Cultural,Hong Kong City,China,"City,Panoramic Views,Skyline,Shopping,Dinning"
Mixed,Yangtze River Cruise,China,Cruise
Mixed,Li River Cruise,China,Cruise
Cultural,Shenyang Imperial Palace,China,"Palace,Museum"
Cultural,Forbidden City,China,"Palace,Museum"
Cultural,Classical Gardens of Suzhou,China,Gardens
Cultural,Canals of Suzhou,China,"Canals,Town"
Cultural,"Summer Palace, an Imperial Garden",China,"Gardens,Palace"
Cultural,Temple of Heaven,China,"Architecture,Temple,Buddhism"
Cultural,Dazu Rock Carvings,China,Rock Art
Cultural,Honghe Hani Rice Terraces,China,"Landscape,Terraces"
Cultural,Yonghe - Lama Temple,China,"Architecture,Temple,Buddhism"
Cultural,Pudong Skylines,China,Skyline
Cultural,Shanghai Museum,China,Museum
Mixed,Leshan Giant Buddha,China,"Buddhism,Statue"
Cultural,Shibaozhai Pagoda,China,"Architecture,Buddhism,Pagoda"
Cultural,Jokhang Tample,China,"Architecture,Buddhism,Temple"
Cultural,Hanging Monastery,China,"Architecture,Buddhism,Temple"
Cultural,Longsheng Rice Terrace,China,"Landscape,Terraces"
Cultural,Three Gorges Dam,China,Dam
Mixed,Mount Tai,China,Mountain
Cultural,Mogao Caves,China,"Architecture,Temples,Buddhism"
Mixed,Mount Huangshan,China,Mountain
Natural,Jiuzhaigou Valley,China,"Park,Reserve,Valley"
Natural,Huanglong Valley,China,"Wildlife,Valley"
Natural,Wulingyuan,China,"Rock Formation,Trekking"
Cultural,Chengde Mountain Resort,China,"Architecture,Palace"
Cultural,Wudang Ancient Complex,China,"Architecture,Temples"
Cultural,Ancient City of Pingyao,China,"Architecture,Fortification,Town,Ancient"
Cultural,Longmen Grottoes,China,Rock Art
Cultural,Yungang Grottoes,China,Rock Art
Natural,South China Karst (Stone Forest),China,"Landscape,Rock Formations"
Cultural,Tiananmen Square,China,Square
Cultural,Tian Tan Buddha,China,"Architecture,Buddhism,Statue"
Cultural,The Bund,China,"Architecture,Colonial,Waterfront"
Cultural,Jade Buddha Temple,China,"Architecture,Temple,Buddhism"
Cultural,Old City of Shanghai,China,"Architecture,Old City"
Cultural,Giant Wild Goose Pagoda,China,"Architecture,Buddhism,Pagoda"
Cultural,Fortifications of Xi'an,China,"Architecture,Fortification,Ancient"
Cultural,Ganden Monastery,China,"Architecture,Buddhism,Monastery"
Cultural,Sera Monastery,China,"Architecture,Buddhism,Monastery"
Cultural,Three Pagodas of Chongsheng Temple (Dali),China,"Architecture,Buddhism,Pagoda"
Natural,Tiger Leaping Gorge,China,Canyon
Mixed,Xishuangbanna Dai Villages,China,Villages
Cultural,Jiayuguan Fort,China,"Architecture,Fortification,Ancient"
Cultural,Kaifeng,China,"Architecture,Old City"
Cultural,Labrang Monastery,China,"Architecture,Buddhism,Monastery"
Natural,Reed Flute Cave,China,Cave
Cultural,Chengyang Bridge,China,Bridge
Mixed,Slender West Lake,China,Lake
Natural,Yangshuo County,China,"County,Rock Climbing"
Cultural,Tashi Lhunpo Monastery,China,"Architecture,Buddhism,Monastery"
Natural,Baishuitai Terraces,China,"Landscape,Terraces"
Cultural,Silk Road,"China,Kazakhstan,Kyrgyzstan",Road
Natural,Mount Everest,"China,Nepal",Mountain
Cultural,San Agustín Archaeological Park,Colombia,"Archaeological Site,Megalithic sculptures,Rock Art"
Cultural,Cartagena,Colombia,"Architecture,Colonial,Old Town"
Cultural,Salt Cathedral of Zipaquirá,Colombia,"Architecture,Christianity,Church"
Natural,Aitutaki Island,Cook Islands,"Island,Marine Life,Snorkeling,Scuba Diving"
Natural,Arenal Volcano National Park,Costa Rica,"Park,Volcano"
Natural,Corcovado National Park,Costa Rica,"Park,Wildlife"
Natural,Monteverde Cloud Forest,Costa Rica,"Reserve,Forest,Cloud Forest,Wildlife"
Natural,Manuel Antonio National Park,Costa Rica,"Park,Marine Life,Snorkeling"
Cultural,Old City of Dubrovnik,Croatia,"Architecture,Town,Old City"
Cultural,Palace of Diocletian,Croatia,"Ancient palace,Ancient,Ruins"
Natural,Plitvice Lakes National Park,Croatia,"Park,Lakes"
Cultural,Trogir,Croatia,"Town,Old Town"
Cultural,"Stari Grad, Hvar",Croatia,"Town,Old Town"
Cultural,Castillo de San Pedro de la Roca,Cuba,"Architecture,Fortification"
Cultural,Old Havana,Cuba,"Architecture,Baroque,Town"
Cultural,Paphos,Cyprus,"Archaeological Sites,Ruins,Ancient"
Cultural,Old Town Prague,Czech Republic,"Architecture,Old Town"
Cultural,Cesky Krumlov,Czech Republic,"Architecture,Old Town"
Cultural,Kutná Hora,Czech Republic,"Architecture,Old Town"
Cultural,Holy Trinity Column in Olomouc,Czech Republic,"Architecture,Baroque,Column,Christianity"
Cultural,Charles Bridge,Czech Republic,"Architecture,Gothic,Bridge"
Cultural,Karlovy Vary,Czech Republic,"Old Town,Hot Springs"
Cultural,Marienbad,Czech Republic,"Old Town,Hot Springs"
Natural,Virunga National Park,Democratic Republic of the Congo,"Park,Wildlife"
Natural,Garamba National Park,Democratic Republic of the Congo,"Park,Wildlife"
Natural,Kahuzi-Biega National Park,Democratic Republic of the Congo,"Park,Wildlife"
Natural,Okapi Wildlife Reserve,Democratic Republic of the Congo,"Reserve,Forest,Wildlife"
Cultural,The Old Town in Aarhus,Denmark,"Museum,Old Town"
Cultural,Egeskov Castle,Denmark,"Architecture,Renaissance,Fortification,Castle"
Cultural,Frederiksborg Castle,Denmark,"Architecture,Renaissance,Fortification,Castle"
Cultural,Little Mermaid Statue,Denmark,Statue
Natural,Møns Klint,Denmark,"Cliff,Landform,Rock Formation"
Natural,Nyhavn,Denmark,"Harbour,Canal"
Cultural,Tivoli Gardens,Denmark,"Gardens,Amusement park"
Natural,Galápagos Islands,Ecuador,"Islands,Cruise,Wildlife,Marine Life,Snorkeling,Scuba Diving"
Cultural,The Church of the Society of Jesus,Ecuador,"Architecture,Chrisianity,Baroque,Church"
Cultural,Otavalo Market,Ecuador,Market
Cultural,Giza pyramid complex,Egypt,"Archaeological Site,Ancient,Tomb"
Cultural,Valley of the Kings - Theban Necropolis,Egypt,"Archaeological Site,Ancient,Ruins,Tombs"
Cultural,Karnak,Egypt,"Ancient,Ruins"
Cultural,Abu Simbel,Egypt,"Ancient,Temples,Rock Art,Statues"
Cultural,Egyptian Museum,Egypt,Museum
Cultural,Nile River Cruise,Egypt,Cruise
Cultural,Mortuary Temple of Hatshepsut,Egypt,"Ancient,Temple,Shrine"
Cultural,Luxor Temple,Egypt,"Ancient,Temple"
Cultural,Great Sphinx of Giza,Egypt,Statue
Cultural,Edfu Temple,Egypt,"Ancient,Temple,Shrine"
Cultural,Kom Ombo Temple,Egypt,"Ancient,Temple"
Cultural,Suez Canal,Egypt,Canal
Cultural,Colossi of Memnon,Egypt,"Ancient,Statues"
Cultural,Saint Catherine's Monastery,Egypt,"Christianity,Monastery"
Cultural,Saladin Citadel of Cairo,Egypt,"Architecture,Islam,Medieval,Fortification"
Cultural,City of the Dead,Egypt,"Ancient,Tombs"
Cultural,Step Pyramid of Djoser,Egypt,"Archaeological Site,Ruin,Tomb"
Cultural,Philae Temple Complex,Egypt,"Ancient,Temple"
Natural,Ras Muhammad National Park,Egypt,"Park,Marine Life,Snorkeling,Scuba Diving"
Cultural,Siwa Oasis,Egypt,"Ancient,Ruins"
Natural,Farafra - White Desert,Egypt,"Desert,Rock Formations"
Cultural,Tallinn Old Town,Estonia,Old Town
Cultural,Fasil Ghebbi,Ethiopia,"Architecture,Fortress,Fortification"
Natural,Blue Nile Falls,Ethiopia,Waterfall
Natural,Yasawa Islands,Fiji,"Islands,Marine Life,Snorkeling,Scuba Diving"
Natural,Lapland,Finland,"Trekking,Wildlife"
Natural,Karelia's Lakes,"Finland,Russian Federation",Lakes
Cultural,Mont Saint-Michel,France,"Architecture,Christianity,Monastery"
Cultural,Chartres Cathedral,France,"Architecture,Christianity,Cathedral,Gothic"
Cultural,Palace and Park of Versailles,France,"Architecture,Palace"
Cultural,Eiffel Tower,France,"Architecture,Industrial,Tower"
Cultural,Louvre,France,Museum
Cultural,Château de Chambord,France,"Architecture,Castle,Renaissance"
Cultural,Palace of Fontainebleau,France,"Architecture,Palace,Medieval"
Cultural,Amiens Cathedral,France,"Architecture,Christianity,Cathedral,Gothic"
Cultural,Historic Centre of Avignon,France,"Architecture,Old Town,Medieval,Gothic"
Cultural,Pont du Gard,France,"Architecture,Roman,Aqueduct"
Cultural,Reims Cathedral,France,"Architecture,Christianity,Cathedral,Gothic"
Cultural,The Loire Valley between Sully-sur-Loire and Chalonnes,France,Valley
Cultural,Musée d'Orsay,France,"Art Gallery,Museum"
Cultural,Notre Dame de Paris,France,"Architecture,Christianity,Cathedral,Gothic,Medieval"
Cultural,Opéra Garnier,France,"Architecture,Beaux Arts,Opera House"
Cultural,Sainte-Chapelle,France,"Architecture,Christianity,Chapel,Gothic"
Cultural,Château de Chenonceau,France,"Architecture,Castle,Renaissance"
Cultural,Millau Bridge,France,"Architecture,Bridge"
Cultural,Roman Theatre of Orange,France,"Architecture,Roman"
Cultural,Grande île (Strasbourg),France,"Architecture,Old Town,Medieval"
Natural,New Caledonian Barrier Reef,France,"Island,Marine Life,Coral Reef,Snorkeling,Scuba Diving"
Cultural,Arc de Triomphe,France,"Arch,Monument"
Cultural,Centre Pompidou,France,"Architecture,Industrial,Modern"
Cultural,Château du Haut-Koenigsbourg,France,"Architecture,Castle,Fortification,Medieval"
Cultural,Strasbourg Old Town,France,"Architecture,Old Town,Medieval"
Cultural,Riquewihr,France,"Architecture,Old Town,Vineyards"
Mixed,"Bonifacio, Corse-du-Sud",France,"Port,Seascape,Harbour"
Mixed,Dordogne - Black Périgord,France,"Countryside,Road Trip"
Cultural,Maison Carrée,France,"Architecture,Roman,Temple,Ancient"
Cultural,Arena of Nîmes,France,"Architecture,Roman,Amphitheatre,Ancient"
Cultural,Honfleur Harbor,France,"Harbour,Port"
Natural,Verdon Gorge,France,Canyon
Cultural,Le Puy-en-Velay,France,"Architecture,Old Town,Medieval"
Cultural,Lourdes,France,"Architecture,Old Town,Chrisianity"
Natural,Bora Bora,French Polynesia,"Island,Lagoon,Marine Life,Coral Reef,Snorkeling,Scuba Diving,Seascape"
Natural,Moorea,French Polynesia,"Island,Scuba Diving,Snorkeling"
Natural,Fatu Hiva,French Polynesia,"Island,Landscape"
Cultural,Upper Svaneti,Georgia,"Mountains,Landscapes"
Cultural,Gelati Monastery,Georgia,"Architecture,Monastery,Christianity"
Cultural,Neuschwanstein Castle,Germany,"Architecture,Romanesque Revival,Palace,Castle"
Cultural,Cologne Cathedral,Germany,"Architecture,Christianity,Cathedral,Gothic"
Cultural,Upper Middle Rhine Valley,Germany,"Valley,Landscape,Cruise"
Cultural,Kunstareal,Germany,Museums
Cultural,Maulbronn Monastery,Germany,"Architecture,Gothic,Christianity,Monastery,Medieval"
Cultural,Goslar Old Town,Germany,"Architecture,Old Town,Medieval"
Cultural,Town of Bamberg,Germany,"Old Town,Medieval"
Cultural,Museum Island,Germany,Museums
Cultural,Deutsches Museum,Germany,Museum
Cultural,Staatliches Hofbräuhaus,Germany,Brewery
Cultural,Nymphenburg Palace,Germany,"Architecture,Baroque,Palace"
Cultural,Oktoberfest,Germany,Festival
Cultural,Munich Residenz,Germany,"Architecture,Renaissance,Palace"
Cultural,Berchtesgaden,Germany,"Alpine,Resort,Village"
Cultural,Garmisch-Partenkirchen,Germany,"Alpine,Resort,Mountains"
Cultural,Romantic Road,Germany,"Road Trip,Countryside"
Cultural,Rothenburg ob der Tauber,Germany,"Architecture,Old Town,Medieval"
Cultural,Reichstag,Germany,"Architecture,Neoclassical,Building"
Cultural,Heidelberg Castle,Germany,"Architecture,Renaissance,Castle,Ruin"
Natural,Mosel Valley,Germany,"Valley,Landscape"
Cultural,Zwinger of Dresden,Germany,"Architecture,Baroque,Museum"
Cultural,Munich Frauenkirche,Germany,"Architecture,Gothic,Christianity,Cathedral"
Cultural,Delphi,Greece,"Archaeological Site,Ruins,Ancient,Greek,Temple"
Cultural,Acropolis of Athens,Greece,"Archaeological Site,Ruins,Ancient,Greek,Citadel"
Cultural,Santorini,Greece,Island
Mixed,Meteora Monasteries,Greece,"Architecture,Christianity,Monastery,Rock Art"
Cultural,Epidaurus,Greece,"Architecture,Ruins,Ancient,Greek,Amphitheatre"
Cultural,Olympia,Greece,"Archaeological Site,Ruins,Ancient,Greek,Sanctuary"
Cultural,Acropolis Museum,Greece,Museum
Cultural,"National Archaeological Museum, Athens",Greece,Museum
Mixed,Mount Athos,Greece,Mountain
Cultural,Rhodes Old Town,Greece,"Architecture,Old Town,Medieval"
Cultural,Delos,Greece,"Archaeological Site,Ruins,Ancient,Greek,Sanctuary"
Cultural,Mycenae,Greece,"Archaeological Site,Ruins,Ancient,Greek,Town"
Cultural,Old Town of Corfu,Greece,"Island,Old Town,Medieval"
Cultural,Temple of Hephaestus,Greece,"Ancient,Greek,Temple,Church,Christianity"
Cultural,Theatre of Dionysus,Greece,"Ruins,Ancient,Greek,Theatre"
Cultural,Knossos Palace,Greece,"Archaeological Site,Ruins,Ancient,Greek,Palace"
Cultural,Lindos Acropolis,Greece,"Archaeological Site,Ruins,Ancient,Greek,Citadel"
Cultural,The Caves of Matala,Greece,"Caves,Seascape"
Cultural,Mykonos,Greece,Island
Cultural,Paros,Greece,Island
Natural,Samariá Gorge,Greece,"Canyon,Park,Hiking,Trail"
Cultural,Temple of Poseidon at Cape Sounion,Greece,"Archaeological Site,Ruins,Ancient,Greek,Temple"
Mixed,Tikal National Park,Guatemala,"Ruins,Ancient,Town,Maya"
Cultural,Antigua Guatemala,Guatemala,"Architecture,Baroque,Colonial,Town"
Cultural,Chichicastenango,Guatemala,"Town,Market"
Natural,Lake Atitlán,Guatemala,Lake
Natural,Semuc Champey,Guatemala,"Pools,Natural Monument"
Cultural,Devil's Island,Guiana,"Colonial,Prison"
Natural,Kaieteur Falls,Guyana,Waterfall
Cultural,Citadelle Laferrière,Haiti,"Architecture,Fortification,Fortress"
Cultural,Copan,Honduras,"Archaeological Site,Ruins,Ancient,Maya"
Cultural,Budapest Old Town,Hungary,"Architecture,Old Town"
Natural,Gullfoss,Iceland,Waterfall
Cultural,Thingvellir National Park,Iceland,Park
Natural,Blue Lagoon,Iceland,"Geothermal,Pool"
Natural,Geysir,Iceland,"Geyser,Spring"
Natural,Jökulsárlón,Iceland,"Glacial,Lake"
Natural,Mývatn,Iceland,"Lake,Wildlife"
Natural,Vatnajokull,Iceland,Glacier
Cultural,Taj Mahal,India,"Architecture,Mausoleum,Tomb"
Cultural,Harmandir Sahib,India,"Architecture,Sikh,Temple"
Natural,Kashmir Valley,India,"Valley,Trekking"
Natural,Ladakh,India,"Trekking,Landscape"
Cultural,Meenakshi Amman Temple,India,"Architecture,Tamizhan,Hindu,Temple"
Cultural,Dashashwamedh Ghat,India,Hindu
Cultural,Red Fort Complex,India,"Architecture,Indian,Fortification"
Cultural,Qutb Minar,India,"Architecture,Islam,Minaret,Tower"
Cultural,Khajuraho,India,"Architecture,Nagara,Hindu,Temples"
Cultural,Ajanta Caves,India,"Rock Art,Buddhism"
Cultural,Ellora Caves,India,"Rock Art,Buddhism"
Cultural,Agra Fort,India,"Architecture,Fortification"
Cultural,Fatehpur Sikri,India,"Architecture,Indian,Complex"
Cultural,Amer Fort,India,"Architecture,Fortification"
Cultural,"City Palace, Udaipur",India,"Architecture,Palace,Rajasthani,Mughal"
Cultural,Darjeeling,India,"Architecture,Town"
Cultural,Jama Masjid in Delhi,India,"Architecture,Islam,Mosque"
Cultural,Ekambareswarar Temple,India,"Architecture,Dravidian,Hindu,Temple"
Natural,Kerala Backwaters,India,"Lakes,Cruise"
Cultural,Lake Palace,India,Hotel
Cultural,Lotus Temple,India,"Architecture,Expressionist,Temple"
Natural,Thalay Sagar,India,Mountain
Cultural,Humayun's Tomb,India,"Architecture,Mughal,Tomb"
Cultural,Old Goa,India,"Architecture,Christianity,Old Town"
Cultural,Hampi,India,"Architecture,Ruins,Hindu,Temples"
Cultural,Elephanta Caves,India,"Rock Art,Hindu"
Cultural,Mahabodhi Temple,India,"Architecture,Buddhism,Temple"
Cultural,"Jantar Mantar, Jaipur",India,Observatory
Natural,Andaman Islands,India,"Island,Marine Life,Snorkeling,Scuba Diving"
Cultural,Brihadeeswarar Temple,India,"Architecture,Dravidian,Hindu,Temple"
Cultural,Chand Baori,India,Well
Cultural,Gateway To India,India,Monument
Cultural,Girnar Jain temples,India,"Architecture,Jainism,Temple"
Cultural,Gommateshwara Statue,India,"Architecture,Jainism,Statue"
Cultural,Gwalior Fort,India,"Architecture,Fortification"
Cultural,Indian Museum,India,Museum
Cultural,Jantar Mantar Observatory,India,Observatory
Natural,Lakshadweep Islands,India,"Islands,Marine Life,Snorkeling,Scuba Diving"
Cultural,Mehrangarh Fort,India,"Architecture,Fortification"
Cultural,Mysore Palace,India,"Architecture,Indo Saracenic,Palace"
Cultural,Palace of the Winds,India,"Architecture,Rajput,Palace"
Cultural,Calcutta Jain Temple,India,"Architecture,Jainism,Temple"
Cultural,Ramanathaswamy Temple,India,"Architecture,Dravidian,Hindu,Temple"
Natural,Sikkim,India,"Mountains,Wildlife,Trekking"
Cultural,"Venkateswara Temple, Tirumala",India,"Architecture,Stupa,Candi,Hindu,Temple"
Cultural,Hill Forts of Rajasthan,India,"Architecture,Fortification"
Cultural,Mahabalipuram,India,Rock Art
Cultural,Borobudur,Indonesia,"Architecture,Dravidian,Buddhism,Temple"
Cultural,Bali,Indonesia,"Island,Terrace,Scuba Diving"
Cultural,Prambanan Temple,Indonesia,"Architecture,Candi,Hindu,Temple"
Natural,Komodo National Park,Indonesia,"Parks,Wildlife,Trekking"
Natural,Raja Ampat Islands,Indonesia,"Islands,Scuba Diving,Snorkeling,Seascape,Marine Life"
Natural,Krakatau Island,Indonesia,"Island,Volcano"
Natural,Lombok,Indonesia,"Island,Trekking,Snorkeling"
Natural,"Manado Marine Park, Sulawesi",Indonesia,"Scuba Diving,Marine Life"
Natural,Samosir Island,Indonesia,Island
Cultural,Taman Mini Indonesia Indah,Indonesia,"Gardens,Amusement park"
Cultural,Tanah Lot Temple,Indonesia,"Architecture,Hindu,Temple"
Cultural,Pura Ulun Danu Bratan,Indonesia,"Architecture,Hindu,Temple"
Cultural,Uluwatu Temple,Indonesia,"Architecture,Hindu,Temple"
Cultural,Toraja villages,Indonesia,Villages
Cultural,Jameh Mosque and Square of Isfahan,Iran,"Architecture,Islam,Mosque,Square"
Cultural,Persepolis,Iran,"Archaeological site,Ruins"
Cultural,Iranian Crown Jewels,Iran,Collection
Cultural,Hatra,Iraq,"Archaeological site,Ruins"
Cultural,Babylon,Iraq,"Archaeological site,Ruins"
Cultural,Shorja,Iraq,Market
Cultural,National Museum of Iraq,Iraq,Museum
Cultural,Wadi-us-Salaam,Iraq,"Cemetry,Catacombs,Tombs"
Cultural,Ziggurat of Ur,Iraq,"Archaeological site,Ruins"
Natural,Cliffs of Moher,Ireland,"Landform,Rock Formation,Cliff"
Cultural,Newgrange,Ireland,"Archaeological site,Rock Art"
Cultural,Skellig Michael,Ireland,"Architecture,Christianity,Monastery"
Natural,Aran Islands,Ireland,Islands
Cultural,Blarney Castle,Ireland,"Castle,Fortification,Medieval"
Natural,Dingle Peninsula,Ireland,"Peninsula,Rock Formations"
Natural,Ring of Kerry,Ireland,"Road Trip,Countryside"
Cultural,Rock of Cashel,Ireland,"Architecture,Medieval,Castle,Ruins"
Cultural,Trinity College Library,Ireland,Library
Cultural,Old City of Jerusalem,Israel,"Architecture,Old Town,Fortification"
Cultural,Masada,Israel,Fortification
Natural,Dead Sea,Israel,Lake
Cultural,Temple Mount,Israel,"Temple,Mosque,Judaism,Christianity,Islam"
Cultural,Church of the Holy Sepulchre,Israel,"Architecture,Romanesque,Baroque,Church,Chrisianity"
Cultural,Colosseum,Italy,"Architecture,Roman,Amphitheatre,Ancient"
Cultural,Historic Centre of Florence,Italy,"Architecture,Renaissance,City,Skyline"
Cultural,Venice,Italy,"Architecture,City,Canals,Lagoon"
Cultural,Piazza dei Miracoli & Tower of Pisa,Italy,"Architecture,Medieval,Square,Cathedral,Tower"
Cultural,Pompei,Italy,"Archaeological site,Ruins,Roman"
Cultural,Amalfi Coast,Italy,"Road Trip,Seascape"
Cultural,Portofino,Italy,Village
